"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","3,271","1,172","5","4","19","15","250","118","0","0","67","77","0","0","4","7","135","67","3,751","1,460","0","5,211","1",
"Graduate","782","219","3","2","22","14","73","39","0","0","213","175","0","0","6","4","33","24","1,132","477","0","1,609","2",
"Total","4,053","1,391","8","6","41","29","323","157","0","0","280","252","0","0","10","11","168","91","4,883","1,937","0","6,820","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","640","436","19","17","53","66","165","130","0","0","4,680","3,362","0","0","23","32","322","316","5,902","4,359","0","10,261","1",
"Graduate","54","21","2","1","9","13","16","13","0","0","989","511","0","0","26","68","32","24","1,128","651","0","1,779","2",
"Total","694","457","21","18","62","79","181","143","0","0","5,669","3,873","0","0","49","100","354","340","7,030","5,010","0","12,040","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","720","197","5","3","18","12","135","60","0","0","833","403","0","0","1","1","135","85","1,847","761","0","2,608","1",
"Graduate","833","195","2","1","63","84","143","37","0","0","1,084","443","0","0","17","40","61","25","2,203","825","0","3,028","2",
"Total","1,553","392","7","4","81","96","278","97","0","0","1,917","846","0","0","18","41","196","110","4,050","1,586","0","5,636","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","578","373","40","27","188","152","409","299","0","0","8,606","6,582","0","0","66","44","355","346","10,242","7,823","0","18,065","1",
"Graduate","85","34","4","4","40","29","39","19","0","0","1,405","704","0","0","137","132","54","48","1,764","970","0","2,734","2",
"Total","663","407","44","31","228","181","448","318","0","0","10,011","7,286","0","0","203","176","409","394","12,006","8,793","0","20,799","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","586","310","16","10","530","479","1,754","1,019","0","0","2,041","1,588","0","0","50","36","296","272","5,273","3,714","0","8,987","1",
"Graduate","108","61","2","4","80","49","190","71","0","0","955","482","0","0","39","24","93","48","1,467","739","0","2,206","2",
"Total","694","371","18","14","610","528","1,944","1,090","0","0","2,996","2,070","0","0","89","60","389","320","6,740","4,453","0","11,193","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,555","936","23","19","442","552","705","595","0","0","6,147","6,212","0","0","82","104","530","529","9,484","8,947","0","18,431","1",
"Graduate","219","107","10","3","174","151","237","126","0","0","2,460","1,667","0","0","242","308","137","125","3,479","2,487","0","5,966","2",
"Total","1,774","1,043","33","22","616","703","942","721","0","0","8,607","7,879","0","0","324","412","667","654","12,963","11,434","0","24,397","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,577","1,371","27","43","130","242","284","353","0","0","4,440","6,409","0","0","89","167","354","494","6,901","9,079","0","15,980","1",
