"SortNum","Subsort","Category","PublicTotal","PublicPct","CCTotal","CCPct","NFPTotal","NFPPct","FPTotal","FPPct","OOSTotal","OOSPct","AllTotal",
"1","1","Enrollment","","","","","","","","","","","",
"1","2","Total","183,833","25.3","265,960","36.6","209,197","28.8","60,558","8.3","7,890","1.1","727,438",
"2","1","Attendance Status","","","","","","","","","","","",
"2","2","Full-Time","147,530","33.9","101,722","23.4","166,155","38.2","16,136","3.7","3,474","0.8","435,017",
"2","3","Part-Time","36,277","12.4","164,238","56.3","42,624","14.6","44,363","15.2","4,166","1.4","291,668",
"2","4","Unknown","26","3.5","0","0.0","418","55.5","59","7.8","250","33.2","753",
"3","1","Gender","","","","","","","","","","","",
"3","2","Female","95,165","23.0","146,083","35.4","120,233","29.1","45,981","11.1","5,543","1.3","413,005",
"3","3","Male","88,626","28.2","119,877","38.2","88,797","28.3","14,574","4.6","2,338","0.7","314,212",
"3","4","Not Indicated","42","19.0","0","0.0","167","75.6","3","1.4","9","4.1","221",
"5","1","Level of Instruction","","","","","","","","","","","",
"5","2","Continuing Education","0","0.0","5,159","100.0","0","0.0","0","0.0","0","0.0","5,159",
"5","3","Unknown","2,946","10.0","0","0.0","23,753","80.9","2,271","7.7","380","1.3","29,350",
"5","4","","","","","","","","","","","","",
"5","5","Freshman","27,626","14.2","121,695","62.6","31,751","16.3","12,060","6.2","1,378","0.7","194,510",
"5","6","Sophomore","25,613","19.1","74,411","55.4","26,940","20.1","6,798","5.1","550","0.4","134,312",
"5","7","Junior","33,893","48.7","0","0.0","29,180","41.9","5,823","8.4","748","1.1","69,644",
"5","8","Senior","45,318","44.9","0","0.0","35,799","35.5","16,918","16.8","2,799","2.8","100,834",
"5","9","Non-degree seeking/Unclassified","2,009","2.9","64,695","93.9","1,343","1.9","838","1.2","47","0.1","68,932",
"5","10","Total Undergraduate","134,459","23.7","260,801","45.9","125,013","22.0","42,437","7.5","5,522","1.0","568,232",
"5","12","Graduate*","38,213","37.5","0","0.0","46,570","45.7","15,725","15.4","1,446","1.4","101,954",
"5","13","Doctoral Professional Practice","6,126","36.6","0","0.0","10,223","61.0","0","0.0","411","2.5","16,760",
"5","14","Non-degree seeking/Unclassified","2,089","34.9","0","0.0","3,638","60.8","125","2.1","131","2.2","5,983",
"5","15","Total Graduate","46,428","37.2","0","0.0","60,431","48.5","15,850","12.7","1,988","1.6","124,697",
